depl,model,energy(joules),timestamp
SCLB,yolov4,11613.10382498428,59
SCLB,emotion,3.0077418163638625,1
SCLB,emotion,13.072620013407413,2
SCLB,emotion,29.98953633636704,3
SCLB,emotion,51.30030007612683,4
SCLB,emotion,80.42101995773254,5
SCLB,emotion,118.37224733271975,6
SCLB,emotion,160.58443211643996,7
SCLB,emotion,207.5601656611105,8
SCLB,emotion,263.741901779323,9
SCLB,emotion,331.4260944654644,10
SCLB,emotion,405.4035651793525,11
SCLB,emotion,479.7330510958856,12
SCLB,emotion,562.7898550181226,13
SCLB,emotion,658.1435281953391,14
SCLB,emotion,752.9063622728977,15
SCLB,emotion,848.3034579768437,16
SCLB,emotion,950.2146035438752,17
SCLB,emotion,1064.233803558646,18
SCLB,emotion,1187.206033336742,19
SCLB,emotion,1308.7622740339273,20
SCLB,emotion,1448.2939161298016,21
SCLB,emotion,1613.7424640669913,22
SCLB,emotion,1766.188099782981,23
SCLB,emotion,1900.109270886593,24
SCLB,emotion,2047.8783248684817,25
SCLB,emotion,2216.308329356557,26
SCLB,emotion,2403.876507567235,27
SCLB,emotion,2596.2579996818567,28
SCLB,emotion,2783.2999237027175,29
SCLB,emotion,2982.430508402357,30
SCLB,emotion,3194.196804433535,31
SCLB,emotion,3405.4716696776522,32
SCLB,emotion,3612.019578177726,33
SCLB,emotion,3828.3972001795214,34
SCLB,emotion,4066.706247514513,35
SCLB,emotion,4301.787513038141,36
SCLB,emotion,4542.076981314834,37
SCLB,emotion,4798.736010328252,38
